,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Att,Yds,TD,Rec,Yds.1,TD.1,College/Univ,PFR_URL,Height,Weight
628,2000,4,103,Danny Farmer,WR,23.0,PIT,2000.0,2002.0,0,0,0,5.0,33.0,4.0,,,,43.0,611.0,1.0,UCLA,http://www.pro-football-reference.com/players/F/FarmDa00.htm,75,217
629,2000,4,111,Trevor Gaylor,WR,22.0,SDG,2000.0,2002.0,0,0,0,7.0,34.0,7.0,,,,52.0,784.0,4.0,Miami (OH),http://www.pro-football-reference.com/players/G/GaylTr00.htm,75,195
631,2000,4,121,Avion Black,WR,23.0,BUF,2000.0,2002.0,0,0,0,2.0,27.0,0.0,,,,14.0,142.0,0.0,Tennessee St.,http://www.pro-football-reference.com/players/B/BlacAv00.htm,71,185
632,2000,5,143,Windrell Hayes,WR,23.0,NYJ,2000.0,2001.0,0,0,0,1.0,9.0,1.0,1.0,2.0,0.0,6.0,126.0,0.0,USC,http://www.pro-football-reference.com/players/H/HayeWi00.htm,71,198
634,2000,5,153,Dante Hall,WR,22.0,KAN,2000.0,2008.0,1,2,0,29.0,112.0,11.0,54.0,242.0,0.0,162.0,1747.0,9.0,Texas A&M,http://www.pro-football-reference.com/players/H/HallDa00.htm,68,187
636,2000,5,165,Troy Walters,WR,23.0,MIN,2000.0,2007.0,0,0,0,12.0,98.0,9.0,4.0,42.0,0.0,102.0,1135.0,9.0,Stanford,http://www.pro-football-reference.com/players/W/WaltTr00.htm,67,173
637,2000,6,170,Frank Murphy,WR,23.0,CHI,2000.0,2004.0,0,0,0,1.0,20.0,0.0,,,,8.0,71.0,1.0,Kansas St.,http://www.pro-football-reference.com/players/M/MurpFr00.htm,73,212
638,2000,6,172,Mareno Philyaw,WR,22.0,ATL,2000.0,2000.0,0,0,0,0.0,1.0,0.0,,,,,,,Troy,http://www.pro-football-reference.com/players/P/PhilMa20.htm,74,208
639,2000,6,175,James Williams,WR,22.0,SEA,2000.0,2003.0,0,0,0,4.0,30.0,4.0,1.0,-5.0,0.0,29.0,410.0,1.0,Marshall,http://www.pro-football-reference.com/players/W/WillJa01.htm,70,186
640,2000,6,196,Emanuel Smith,WR,24.0,JAX,2000.0,2000.0,0,0,0,0.0,1.0,0.0,,,,,,,Arkansas,http://www.pro-football-reference.com/players/S/SmitEm20.htm,73,210
643,2000,7,233,Drew Haddad,WR,22.0,BUF,2002.0,2004.0,0,0,0,0.0,2.0,0.0,,,,1.0,11.0,0.0,Buffalo,http://www.pro-football-reference.com/players/H/HaddDr00.htm,71,187
644,2000,7,242,Charles Lee,WR,22.0,GNB,2000.0,2005.0,0,0,0,7.0,44.0,9.0,2.0,14.0,0.0,72.0,957.0,3.0,Central Florida,http://www.pro-football-reference.com/players/L/LeexCh00.htm,75,227
647,1999,1,6,Torry Holt,WR,23.0,STL,1999.0,2009.0,1,7,11,99.0,173.0,158.0,11.0,57.0,0.0,920.0,13382.0,74.0,North Carolina St.,http://www.pro-football-reference.com/players/H/HoltTo00.htm,72,200
648,1999,1,8,David Boston,WR,21.0,ARI,1999.0,2005.0,1,1,5,37.0,75.0,61.0,18.0,91.0,0.0,315.0,4699.0,25.0,Ohio St.,http://www.pro-football-reference.com/players/B/BostDa00.htm,74,240
649,1999,1,13,Troy Edwards,WR,22.0,PIT,1999.0,2005.0,0,0,1,19.0,92.0,22.0,16.0,46.0,1.0,203.0,2404.0,11.0,Louisiana Tech,http://www.pro-football-reference.com/players/E/EdwaTr00.htm,70,195
650,1999,2,32,Kevin Johnson,WR,23.0,CLE,1999.0,2005.0,0,0,5,32.0,101.0,79.0,2.0,-6.0,0.0,384.0,4595.0,25.0,Syracuse,http://www.pro-football-reference.com/players/J/JohnKe01.htm,71,195
651,1999,2,53,Peerless Price,WR,22.0,BUF,1999.0,2007.0,0,0,6,43.0,123.0,102.0,23.0,173.0,0.0,403.0,5281.0,31.0,Tennessee,http://www.pro-football-reference.com/players/P/PricPe00.htm,71,190
652,1999,3,71,D'Wayne Bates,WR,23.0,CHI,1999.0,2003.0,0,0,2,10.0,47.0,21.0,1.0,-2.0,0.0,80.0,1061.0,6.0,Northwestern,http://www.pro-football-reference.com/players/B/BateDW00.htm,74,212
653,1999,3,78,Marty Booker,WR,23.0,CHI,1999.0,2009.0,0,1,7,48.0,157.0,117.0,18.0,41.0,0.0,539.0,6703.0,37.0,La-Monroe,http://www.pro-football-reference.com/players/B/BookMa00.htm,72,205
654,1999,3,82,Karsten Bailey,WR,22.0,SEA,1999.0,2003.0,0,0,0,1.0,19.0,0.0,,,,9.0,88.0,1.0,Auburn,http://www.pro-football-reference.com/players/B/BailKa00.htm,72,205
655,1999,3,93,Travis McGriff,WR,23.0,DEN,1999.0,2001.0,0,0,0,1.0,34.0,0.0,,,,5.0,88.0,1.0,Florida,http://www.pro-football-reference.com/players/M/McGrTr00.htm,68,185
656,1999,4,98,Craig Yeast,WR,22.0,CIN,1999.0,2001.0,0,0,0,4.0,35.0,7.0,3.0,-1.0,0.0,27.0,321.0,0.0,Kentucky,http://www.pro-football-reference.com/players/Y/YeasCr00.htm,67,165
657,1999,4,102,Dameane Douglas,WR,23.0,OAK,1999.0,2002.0,0,0,0,2.0,52.0,0.0,,,,14.0,165.0,3.0,California,http://www.pro-football-reference.com/players/D/DougDa00.htm,72,195
658,1999,4,105,Brandon Stokley,WR,23.0,BAL,1999.0,2013.0,0,0,2,45.0,152.0,44.0,9.0,32.0,0.0,397.0,5339.0,39.0,Louisiana,http://www.pro-football-reference.com/players/S/StokBr00.htm,72,194
659,1999,4,108,Larry Parker,WR,23.0,KAN,1999.0,2001.0,0,0,0,2.0,38.0,4.0,4.0,-1.0,0.0,18.0,240.0,2.0,USC,http://www.pro-football-reference.com/players/P/ParkLa00.htm,73,205
660,1999,4,118,Wane McGarity,WR,22.0,DAL,1999.0,2001.0,0,0,0,6.0,31.0,2.0,6.0,49.0,1.0,39.0,363.0,1.0,Texas,http://www.pro-football-reference.com/players/M/McGaWa00.htm,68,197
661,1999,4,130,Na Brown,WR,22.0,PHI,1999.0,2001.0,0,0,0,4.0,42.0,9.0,,,,34.0,363.0,2.0,North Carolina,http://www.pro-football-reference.com/players/B/BrowNa00.htm,72,196
662,1999,5,148,Darrin Chiaverini,WR,21.0,CLE,1999.0,2002.0,0,0,1,5.0,49.0,10.0,1.0,3.0,0.0,62.0,662.0,7.0,Colorado,http://www.pro-football-reference.com/players/C/ChiaDa00.htm,74,210
663,1999,5,164,Eugene Baker,WR,23.0,ATL,1999.0,2004.0,0,0,0,1.0,8.0,1.0,,,,7.0,118.0,0.0,Kent St.,http://www.pro-football-reference.com/players/B/BakeEu00.htm,74,183
664,1999,5,166,Malcolm Johnson,WR,22.0,PIT,1999.0,2000.0,0,0,0,0.0,11.0,0.0,,,,2.0,23.0,0.0,Notre Dame,http://www.pro-football-reference.com/players/J/JohnMa00.htm,77,215
